palabra,frecuencia
unos,249272
pasado,249247
forma,247915
gusta,246115
hizo,245925
caso,245252
contra,240888
tarde,240846
necesito,240791
oye,239741
alguna,238669
hemos,236016
cuenta,235082
visto,234626
conmigo,233733
mientras,233013
otros,231669
realmente,231221
hora,230432
problema,230258
crees,229737
año,229700
razón,229371
primera,228538
cierto,227632
saber,227254
dicho,225969
hacerlo,225440
mierda,224926
pues,223512
idea,222982
mío,220959
aunque,220211
familia,215124
hacia,215122
amor,214016
esos,212421
pueden,212072
importa,211642
todavía,208416
personas,207355
policía,207069
casi,206579
contigo,206465
cualquier,206307
demasiado,205046
ven,203236
serio,202946
algún,199354
ve,198486
nueva,197917
eh,196607
lado,196477
manera,195856
cabeza,195520
hombres,194191
historia,193715
dentro,190519
sería,188040
salir,188038
debería,186785
van,186422
ciudad,185759
ustedes,184390
muchas,183573
poder,182146
algunos,181159
amigos,181053
chica,179295
mayor,177873
sabía,175312
chicos,174510
hermano,174414
esas,174267
primer,174056
país,173107
vaya,172489
agua,172356
misma,171495
veo,171364
haces,170177
camino,169922
persona,169741
iba,169636
realidad,168677
fin,168510
importante,167574
primero,167530
digo,166604
horas,166262
semana,165909
puerta,165036
somos,164983
pensé,164934
bajo,164484
muerte,164398
problemas,163433
punto,163199
ah,163190
pasó,162454
quizá,162117
buenas,161279
supuesto,161065
cuatro,160375
da,159390
mano,159322
niños,159305
volver,157907
además,157835
señora,157598
cariño,157329
ayuda,157073
ojos,156143
cinco,155815
pasar,155741
general,155361
pronto,155069
debo,154548
minutos,153924
sino,153281
gobierno,153247
manos,152657
presidente,152440
muerto,152117
muchos,151773
chico,150641
guerra,150278
hice,150151
incluso,149589
medio,149551
cuál,149002
hablando,147959
adiós,147325
siquiera,147214
genial,146594
fueron,146401
ello,145509
rápido,145063
equipo,144798
dejar,144278
significa,144035
jefe,143984
millones,143875
suerte,143636
otras,143352
ayer,143323
cuerpo,142880
llegar,142773
mujeres,141630
nuestros,140807
quizás,140555
tierra,140549
único,140434
hija,140247
ninguna,140049
final,139803
cara,139709
niño,139669
juntos,138569
algunas,138298
entiendo,138296
número,138168
ningún,138155
deja,138097
ves,137917
tío,137775
cerca,137185
corazón,137016
miedo,136673
buenos,135945
eran,135785
haya,135257
hubiera,135227
feliz,134886
unas,134608
espero,134308
igual,134222
viene,134025
dar,133102
última,132602
difícil,132094
os,131791
venir,131556
vi,131170
viejo,130961
bastante,129919
tomar,129675
gustaría,129585
cuánto,129281
encontrar,129194
adelante,129092
justo,127679
grande,125939
allá,125797
clase,125560
ante,124416
juego,123963
tenido,123709
hey,122545
doctor,122517
grupo,122028
dijiste,120417
trata,119650
haré,119359
último,119291
frente,118840
grandes,118548
venga,118329
llama,117751
noches,117749
toma,117736
necesita,117516
debes,117004
arriba,116339
vuelta,116050
tampoco,114609
trabajar,114099
fuerte,113054
vivir,111446
déjame,111119
hijos,110015
joven,109943
tras,109409
luz,108503
oportunidad,108478
fui,107891
dices,107034
alto,106802
fiesta,106187
loco,105913
atrás,105663
debemos,105402
quieren,104978
dio,104868
falta,104348
fácil,104304
ido,104001
vino,103897
abajo,103283
única,102884
información,102513
queda,99750
real,99733
auto,99696
lista,99093
orden,98419
nacional,97832
listo,97811
necesitamos,97624
libro,97501
lejos,96430
vete,95198
éste,94130
ok,92530
relación,92441
ley,91988
bebé,91942
largo,91148
buscando,90780
nuestras,90475
recuerdo,89726
rey,89710
voz,88556
lleva,87354
necesitas,86587
resto,85118
oficina,85097
libre,85061
fuerza,84398
oído,83399
llevar,83244
fuego,82127
llamado,81962
viaje,81501
futuro,80546
vivo,79235
venido,78846
niña,77659
vista,77413
junto,77315
llamar,76992
basta,76950
john,76877
iré,76578
buscar,76470
llegó,75408
verte,74715
boca,74341
vuelve,73971
llamada,73881
ésta,73379
idiota,73201
jugar,73018
obra,72583
querido,71689
queremos,71159
unidos,70669
ropa,69754
oficial,68865
negro,68761
jamás,68529
necesario,67901
noticias,67796
increíble,67735
josé,67679
respuesta,67604
llegado,67586
universidad,67567
juan,67487
vemos,67350
nivel,66938
línea,66679
libertad,66531
respecto,65919
investigación,65466
usar,65091
querida,64873
blanco,64565
raro,64457
zona,64152
jack,64138
últimos,64105
reunión,63826
york,63796
gusto,62509
irme,62112
ganar,62044
base,62000
odio,61995
ocurre,61874
quieras,60870
fondo,60767
baño,60266
interior,59177
imposible,59076
negocio,58419
ocho,58342
recuerda,57585
recuerdas,57496
banco,57221
foto,57106
normal,57082
novia,56941
izquierda,56861
iglesia,56401
uh,56143
baja,55840
quienes,55826
opinión,54936
quiera,54110
oro,53311
funciona,53066
finalmente,52747
nuevos,52724
formas,52506
lamento,51955
loca,51853
llega,51719
fuiste,51383
justicia,50882
radio,50587
busca,50569
imagen,50448
llamo,50269
éxito,50141
interesante,49824
barco,49422
bonito,49168
quisiera,49009
jóvenes,48791
objetivo,47978
llamó,47557
rato,47511
gustan,47460
juicio,47442
relaciones,47299
río,47018
joe,46817
uso,46786
frank,46559
juez,46505
george,46503
quédate,46480
fuerzas,46468
fotos,46386
frío,45919
boda,45837
libros,45749
intento,45681
interés,45508
época,44962
resulta,44850
informe,44643
intentando,43756
jesús,43709
reina,43630
resultados,43598
regalo,43403
broma,42893
resultado,42227
basura,41920
ocurrió,41886
internacional,41642
respeto,41559
io,41291
juro,41257
bar,40762
querías,40682
quedó,40360
infierno,40258
flores,39993
gracioso,39973
guardia,39820
regresar,39772
oír,39621
riesgo,39607
inteligente,39552
operación,39496
ideas,39298
baile,39176
francia,39150
blanca,39141
golpe,39121
beber,38861
julio,38610
isla,38568
obras,38219
regreso,38057
importantes,37941
unidad,37608
banda,37376
bolsa,37209
irse,36800
rojo,36792
ojo,36599
órdenes,36518
importancia,36416
red,36400
ése,36324
grupos,36200
brazos,35800
área,35755
james,35666
organización,35649
ganas,35469
bonita,35252
brazo,35160
obtener,35136
recordar,34810
quise,34787
rico,34740
reglas,34728
responsable,34685
fe,34633
quedar,34569
inglés,34424
quedan,34410
joder,34391
ben,34134
fiscal,33845
zapatos,33689
familiar,33520
opción,33352
inmediatamente,33292
figura,33083
batalla,33009
ocupado,32813
fútbol,32650
ganado,32604
jugando,32570
grave,32190
usa,31721
objeto,31070
unión,30989
oí,30711
ojalá,30318
you,29420
jimmy,28967
oferta,28955
quedarse,28732
quedarme,28724
kilómetros,28668
árbol,28666
obviamente,28625
jim,28554
universo,27976
juegos,27880
quedado,27862
grado,27792
querer,27718
quiso,27473
usando,27272
gonzález,26920
gana,26769
gato,26602
washington,26427
quiénes,26391
ésa,26328
jardín,26233
últimas,26017
garcía,25990
gay,25925
jane,25458
gustaba,25359
johnny,25193
ángel,25187
um,25063
yendo,24104
junta,23778
jurado,23702
quede,23612
gas,23553
gloria,23166
gracia,22694
junio,22283
ángeles,22168
quedarte,21980
will,21817
últimamente,21591
éramos,21405
queso,20968
gobernador,20844
árboles,20670
jueves,20517
gratis,20243
jake,20243
querían,20000
éstos,19792
jugadores,19695
zonas,19333
útil,19287
utilizar,19200
kevin,19119
walter,18229
íbamos,18130
william,18032
kate,17888
unidades,17052
kim,16926
uniforme,16510
wow,16416
kelly,16160
éstas,15279
whisky,15248
usado,14982
km,14441
ánimo,14329
kyle,14109
urgente,13949
kilos,13927
áreas,13705
uu,13214
karen,12520
usan,12436
unido,12284
utiliza,12072
áfrica,12012
zorra,11765
únicamente,11674
ámbito,11490
usó,11365
ésto,11283
king,11264
wilson,10836
universal,10707
únicos,10638
órganos,10543
ud,10450
web,10318
utilizado,9969
uñas,9541
utilizando,9453
ópera,9329
katie,9250
ácido,9145
índice,8874
williams,8752
ubicación,8711
unidas,8573
kenny,8452
west,8264
wayne,8221
whoa,8183
young,7985
xix,7909
zoe,7723
ética,7581
keith,7570
órgano,7551
ángulo,7478
white,7382
walker,7380
éi,7374
kong,7333
karl,7205
xx,7040
zapato,7006
ken,6929
watson,6865
willie,6860
yeah,6729
álbum,6585
árabe,6574
we,6521
kennedy,6468
wendy,6211
warren,6128
kurt,6113
órbita,6011
kent,6004
kitty,5863
ídolo,5770
your,5727
águila,5667
únicas,5637
zaragoza,5596
walt,5501
wade,5279
kang,5255
what,5240
kg,5235
útiles,5131
xviii,5026
árabes,4972
épocas,4946
woo,4838
zorro,4749
with,4675
katherine,4637
kirk,4567
kilo,4549
wallace,4522
zach,4504
kit,4467
zumo,4463
xvi,4427
zapatillas,4424
zack,4359
éxitos,4341
yoga,4272
íntimo,4256
yang,4252
árbitro,4220
khan,4214
wyatt,4183
winston,4163
wall,4076
kansas,4038
xvii,4026
kathy,3961
kid,3939
kilómetro,3907
won,3884
world,3847
éxtasis,3844
ésas,3833
willy,3710
wells,3681
woody,3609
know,3583
zoológico,3579
ésos,3569
wes,3562
yoon,3530
kay,3515
ático,3464
ángela,3446
klaus,3419
álvarez,3384
yate,3381
énfasis,3381
kira,3338
íntima,3308
yerno,3151
wang,3140
útero,3109
zapatero,3096
xena,3069
éso,3048
óptica,3029
xxi,3014
átomos,2982
xavier,2965
élite,2935
índole,2916
ámbitos,2906
ábrelo,2854
íntimos,2853
ácidos,2819
ánimos,2819
zanahoria,2811
índices,2799
ético,2792
zoo,2759
xiii,2740
yale,2690
zanahorias,2685
yu,2684
zombi,2673
álvaro,2652
ángulos,2639
zar,2503
zamora,2500
zedillo,2496
yace,2493
yugoslavia,2489
zombis,2412
yeso,2364
xv,2349
únete,2294
zeus,2278
xii,2249
yes,2248
yoo,2242
xi,2185
yardas,2176
yenes,2172
échale,2171
yuri,2158
zumbido,2149
yanquis,2127
yi,2076
ósea,2045
átomo,1931
zoey,1928
yard,1921
yogur,1919
yegua,1891
xiv,1890
ábrela,1880
óxido,1871
yates,1830
ágil,1830
yemas,1800
yeo,1800
yolanda,1783
zurdo,1772
zen,1761
yanqui,1749
zelanda,1739
yankees,1730
youtube,1720
zanja,1714
óscar,1708
íntimamente,1691
íntimas,1616
águilas,1577
zorras,1572
óptimo,1545
zombie,1544
és,1523
zapata,1484
zarzuela,1484
zero,1467
zane,1460
épica,1458
ártico,1455
úlcera,1453
xander,1406
ídolos,1386
ómnibus,1322
ámbar,1304
épico,1277
xunta,1230
óptima,1225
óptico,1216
éxodo,1193
échame,1185
échate,1170
órbitas,1136
éter,1130
óleo,1111
áspero,1087
ímpetu,1085
álbumes,1084
xiao,1071
árbitros,1062
óperas,1059
úlceras,1056
úsalo,1006
íntegramente,1005
óvulos,1002
éticos,975
étnica,970
óvulo,969
íntegro,942
éticas,917
óyeme,799
úrsula,775
érase,752
étnico,742
únanse,631
óptimas,629
íntegra,572
xabier,569
óseo,555
óleos,554
xbox,548
ópticas,515
ón,510
úsala,497
ópticos,496
xu,495
ítems,492
xxiii,490
xanax,482
órale,473
ícono,434
óxidos,431
únase,421
ítem,421
ínfima,408
ídem,406
óseas,366
xiang,366
óptimos,350
ía,345
índico,338
xenofobia,334
órden,330
xxx,330
ícaro,328
